Timestamp,Value_NE5,Value_NE7
2015-01-02T03:00:00Z,18483.008,36297.277
2015-01-02T03:15:00Z,18581.866,36157.745
2015-01-02T03:30:00Z,18681.179,36041.750
2015-01-02T03:45:00Z,18933.247,36116.866
2015-01-02T04:00:00Z,19195.389,36413.918
2015-01-02T04:15:00Z,20238.657,36872.503
2015-01-02T04:30:00Z,21068.554,37132.074
2015-01-02T04:45:00Z,21371.696,37786.421
2015-01-02T05:00:00Z,21821.993,38399.814
2015-01-02T05:15:00Z,22471.727,39515.835
2015-01-02T05:30:00Z,22834.400,40301.070
2015-01-02T05:45:00Z,22889.730,41356.624
2015-01-02T06:00:00Z,23302.855,41912.150
2015-01-02T06:15:00Z,23574.143,43391.167
2015-01-02T06:30:00Z,23978.740,44135.303
2015-01-02T06:45:00Z,24157.399,45081.744
2015-01-02T07:00:00Z,24307.114,45860.530
2015-01-02T07:15:00Z,24465.068,46232.121
2015-01-02T07:30:00Z,24690.931,46239.662
2015-01-02T07:45:00Z,24680.439,46849.347
2015-01-02T08:00:00Z,24761.520,47811.160
2015-01-02T08:15:00Z,24915.855,48842.544
2015-01-02T08:30:00Z,24887.529,49453.921
2015-01-02T08:45:00Z,25037.567,50401.642
2015-01-02T09:00:00Z,25620.930,51235.925
2015-01-02T09:15:00Z,25686.969,52160.904
2015-01-02T09:30:00Z,25790.042,52974.579
2015-01-02T09:45:00Z,25742.218,53380.924
2015-01-02T10:00:00Z,25951.028,53973.508
2015-01-02T10:15:00Z,25950.133,54451.280
2015-01-02T10:30:00Z,25991.625,54697.310
2015-01-02T10:45:00Z,26037.075,55227.671
2015-01-02T11:00:00Z,25989.315,55593.024
2015-01-02T11:15:00Z,25788.592,55655.393
2015-01-02T11:30:00Z,25982.091,55967.111
2015-01-02T11:45:00Z,25826.911,56538.655
2015-01-02T12:00:00Z,25993.013,56606.605
2015-01-02T12:15:00Z,25962.457,56480.387
2015-01-02T12:30:00Z,25604.203,56090.471
2015-01-02T12:45:00Z,25660.468,55861.079
2015-01-02T13:00:00Z,25708.528,55667.846
2015-01-02T13:15:00Z,26247.468,55355.645
2015-01-02T13:30:00Z,26205.685,55400.433
2015-01-02T13:45:00Z,26075.444,55311.944
2015-01-02T14:00:00Z,26222.343,55246.613
2015-01-02T14:15:00Z,26097.025,55167.332
2015-01-02T14:30:00Z,26220.909,55183.279
2015-01-02T14:45:00Z,26225.345,55904.199
2015-01-02T15:00:00Z,26233.415,56367.870
2015-01-02T15:15:00Z,26208.551,56874.887
2015-01-02T15:30:00Z,25991.977,57909.727
2015-01-02T15:45:00Z,26379.930,59561.857
2015-01-02T16:00:00Z,26430.213,61602.292
2015-01-02T16:15:00Z,25912.467,62483.255
2015-01-02T16:30:00Z,25599.576,63486.145
2015-01-02T16:45:00Z,25550.574,64270.238
2015-01-02T17:00:00Z,25396.682,64743.928
2015-01-02T17:15:00Z,25184.675,65014.559
2015-01-02T17:30:00Z,25017.445,65087.296
2015-01-02T17:45:00Z,24783.736,64966.493
2015-01-02T18:00:00Z,24695.267,64631.768
2015-01-02T18:15:00Z,24533.319,63808.148
2015-01-02T18:30:00Z,24325.818,63185.532
2015-01-02T18:45:00Z,24144.972,62475.602
2015-01-02T19:00:00Z,24161.899,61800.925
2015-01-02T19:15:00Z,23643.044,60435.233
2015-01-02T19:30:00Z,23435.361,58834.480
2015-01-02T19:45:00Z,23196.691,57675.790
2015-01-02T20:00:00Z,23077.938,56678.569
2015-01-02T20:15:00Z,22995.631,55568.635
2015-01-02T20:30:00Z,22825.989,54606.700
2015-01-02T20:45:00Z,22570.255,53473.171
2015-01-02T21:00:00Z,22477.241,52620.520
2015-01-02T21:15:00Z,22695.335,56634.540
2015-01-02T21:30:00Z,22404.768,55860.111
2015-01-02T21:45:00Z,22275.659,53957.594
2015-01-02T22:00:00Z,22043.167,52160.192
2015-01-02T22:15:00Z,21636.849,49806.392
