LON [°E],LAT [°N],TIEFE [KM],MAGNITUDE
9.490999999999999659e+00,4.706400000000000006e+01,7.000000000000000000e+00,5.169135900000000339e-01
7.102000000000000313e+00,4.609100000000000108e+01,2.000000000000000000e+00,1.838875999999999955e+00
9.500000000000000000e+00,4.706499999999999773e+01,7.000000000000000000e+00,9.388798999999999895e-01
9.492000000000000881e+00,4.706499999999999773e+01,7.000000000000000000e+00,9.781280799999999553e-01
9.320000000000000284e+00,4.655799999999999983e+01,6.000000000000000000e+00,1.398293900000000090e+00
9.494999999999999218e+00,4.706600000000000250e+01,7.000000000000000000e+00,1.820832500000000020e-01
8.464999999999999858e+00,4.794700000000000273e+01,9.000000000000000000e+00,1.854555600000000082e+00
7.062999999999999723e+00,4.597500000000000142e+01,5.000000000000000000e+00,1.661306399999999961e+00
7.125000000000000000e+00,4.716799999999999926e+01,3.800000000000000000e+01,1.363962700000000083e+00
6.892000000000000348e+00,4.603900000000000148e+01,5.000000000000000000e+00,1.536059800000000086e+00
7.538000000000000256e+00,4.580400000000000205e+01,7.000000000000000000e+00,1.669486599999999932e+00
7.931000000000000050e+00,4.744200000000000017e+01,1.900000000000000000e+01,1.641511600000000071e+00
9.494999999999999218e+00,4.706700000000000017e+01,7.000000000000000000e+00,6.351146399999999526e-01
9.493000000000000327e+00,4.707000000000000028e+01,7.000000000000000000e+00,3.160388700000000273e-01
1.048399999999999999e+01,4.660699999999999932e+01,9.000000000000000000e+00,7.775036699999999801e-01
9.365000000000000213e+00,4.720199999999999818e+01,5.000000000000000000e+00,-3.347786999999999985e-02
8.433999999999999275e+00,4.658200000000000074e+01,8.000000000000000000e+00,6.918343200000000026e-01
8.426999999999999602e+00,4.659199999999999875e+01,3.000000000000000000e+00,6.465265599999999724e-01
8.429000000000000270e+00,4.658800000000000097e+01,2.000000000000000000e+00,7.488298500000000191e-01
8.425000000000000711e+00,4.659199999999999875e+01,3.000000000000000000e+00,7.374793299999999885e-01
8.425000000000000711e+00,4.659000000000000341e+01,2.000000000000000000e+00,8.709527200000000136e-01
8.425000000000000711e+00,4.659000000000000341e+01,4.000000000000000000e+00,6.586149300000000428e-01
8.426999999999999602e+00,4.659000000000000341e+01,2.000000000000000000e+00,7.699101400000000206e-01
8.426999999999999602e+00,4.658899999999999864e+01,3.000000000000000000e+00,8.757221699999999664e-01
8.426000000000000156e+00,4.659000000000000341e+01,3.000000000000000000e+00,7.182088500000000098e-01
8.426999999999999602e+00,4.659000000000000341e+01,3.000000000000000000e+00,7.034511300000000356e-01
6.895999999999999908e+00,4.669800000000000040e+01,-1.000000000000000000e+00,1.700419399999999914e+00
8.430999999999999162e+00,4.657900000000000063e+01,3.000000000000000000e+00,5.484666000000000263e-01
8.423000000000000043e+00,4.658800000000000097e+01,4.000000000000000000e+00,8.236601900000000143e-01
8.433999999999999275e+00,4.658800000000000097e+01,2.000000000000000000e+00,6.677056599999999786e-01
8.426999999999999602e+00,4.659100000000000108e+01,4.000000000000000000e+00,9.910462500000000174e-01
7.850999999999999979e+00,4.618800000000000239e+01,6.000000000000000000e+00,8.332010300000000091e-01
6.887999999999999901e+00,4.603600000000000136e+01,5.000000000000000000e+00,9.356336100000000044e-01
9.993999999999999773e+00,4.671200000000000330e+01,8.000000000000000000e+00,9.120503300000000202e-01
7.048000000000000043e+00,4.557399999999999807e+01,2.000000000000000000e+00,2.585775599999999841e+00
6.905000000000000249e+00,4.603099999999999881e+01,5.000000000000000000e+00,1.123819799999999924e+00
7.461999999999999744e+00,4.741599999999999682e+01,1.900000000000000000e+01,1.332262000000000057e+00
7.461999999999999744e+00,4.741599999999999682e+01,1.900000000000000000e+01,1.192754899999999951e+00
9.500000000000000000e+00,4.707300000000000040e+01,7.000000000000000000e+00,9.265055500000000110e-01
9.492000000000000881e+00,4.705599999999999739e+01,6.000000000000000000e+00,1.265802000000000094e+00
9.502000000000000668e+00,4.707500000000000284e+01,7.000000000000000000e+00,1.106396300000000110e+00
6.908000000000000362e+00,4.604399999999999693e+01,6.000000000000000000e+00,9.350237300000000529e-01
7.290000000000000036e+00,4.605499999999999972e+01,8.000000000000000000e+00,1.395903700000000081e+00
7.459999999999999964e+00,4.607900000000000063e+01,3.000000000000000000e+00,1.111553100000000072e+00
6.836000000000000298e+00,4.628999999999999915e+01,-1.000000000000000000e+00,1.212250199999999944e+00
9.493000000000000327e+00,4.706900000000000261e+01,8.000000000000000000e+00,1.362534200000000029e+00
9.493000000000000327e+00,4.706900000000000261e+01,8.000000000000000000e+00,1.105868099999999909e+00
6.738999999999999879e+00,4.682300000000000040e+01,0.000000000000000000e+00,1.728977999999999904e+00
8.137000000000000455e+00,4.632999999999999829e+01,2.000000000000000000e+00,1.863463199999999986e+00
8.144999999999999574e+00,4.793500000000000227e+01,1.600000000000000000e+01,9.885645299999999969e-01
6.842999999999999972e+00,4.610399999999999920e+01,2.000000000000000000e+00,7.480949199999999966e-01
9.801000000000000156e+00,4.754999999999999716e+01,2.400000000000000000e+01,1.117767399999999967e+00
6.894999999999999574e+00,4.602799999999999869e+01,5.000000000000000000e+00,8.730009600000000480e-01
7.467999999999999972e+00,4.659400000000000119e+01,-2.000000000000000000e+00,1.373121999999999954e+00
7.402000000000000135e+00,4.626599999999999824e+01,7.000000000000000000e+00,3.740329800000000149e-01
1.005000000000000071e+01,4.632200000000000273e+01,4.000000000000000000e+00,7.810308900000000332e-01
9.465999999999999304e+00,4.706000000000000227e+01,7.000000000000000000e+00,5.565767600000000037e-01
9.467999999999999972e+00,4.705799999999999983e+01,7.000000000000000000e+00,7.680442600000000342e-01
7.871999999999999886e+00,4.621999999999999886e+01,3.000000000000000000e+00,1.321413799999999972e+00
7.839000000000000412e+00,4.623899999999999721e+01,6.000000000000000000e+00,2.976155599999999790e+00
8.977999999999999758e+00,4.749600000000000222e+01,2.800000000000000000e+01,1.567685699999999960e+00
9.936999999999999389e+00,4.637299999999999756e+01,-2.000000000000000000e+00,1.150106999999999990e+00
6.754999999999999893e+00,4.750000000000000000e+01,0.000000000000000000e+00,1.376854599999999929e+00
7.315999999999999837e+00,4.659700000000000131e+01,1.000000000000000000e+01,1.490358400000000083e+00
7.605000000000000426e+00,4.785999999999999943e+01,9.000000000000000000e+00,1.568361399999999906e+00
9.058999999999999275e+00,4.702100000000000080e+01,9.000000000000000000e+00,1.315779000000000032e+00
7.975999999999999979e+00,4.593299999999999983e+01,8.000000000000000000e+00,2.068328000000000166e+00
9.349999999999999645e+00,4.721600000000000108e+01,-2.000000000000000000e+00,9.606547800000000414e-01
6.958999999999999631e+00,4.560000000000000142e+01,2.000000000000000000e+00,1.287373899999999960e+00
9.333999999999999631e+00,4.747699999999999676e+01,3.000000000000000000e+00,5.325169899999999679e-01
5.875000000000000000e+00,4.582999999999999829e+01,7.000000000000000000e+00,2.852776299999999932e+00
9.335000000000000853e+00,4.747299999999999898e+01,4.000000000000000000e+00,1.871257899999999863e-01
7.541000000000000369e+00,4.580700000000000216e+01,2.000000000000000000e+00,8.780224899999999888e-01
9.496999999999999886e+00,4.707000000000000028e+01,7.000000000000000000e+00,9.712253999999999332e-02
9.666000000000000369e+00,4.711099999999999710e+01,0.000000000000000000e+00,5.094676900000000286e-01
6.780000000000000249e+00,4.627100000000000080e+01,-1.000000000000000000e+00,1.368352699999999977e+00
9.483000000000000540e+00,4.706400000000000006e+01,8.000000000000000000e+00,1.257900100000000077e+00
9.480000000000000426e+00,4.706099999999999994e+01,7.000000000000000000e+00,2.612164700000000117e+00
1.041200000000000081e+01,4.653699999999999903e+01,6.000000000000000000e+00,2.075590599999999952e+00
7.062000000000000277e+00,4.579399999999999693e+01,5.000000000000000000e+00,4.730507099999999854e-01
7.950000000000000178e+00,4.596800000000000352e+01,9.000000000000000000e+00,8.353580800000000028e-01
9.503000000000000114e+00,4.706499999999999773e+01,7.000000000000000000e+00,7.892740900000000392e-01
9.490999999999999659e+00,4.706900000000000261e+01,7.000000000000000000e+00,2.702163100000000151e-01
8.659000000000000696e+00,4.629200000000000159e+01,3.000000000000000000e+00,8.433765699999999921e-01
8.808999999999999275e+00,4.697999999999999687e+01,-1.000000000000000000e+00,2.162827699999999798e+00
1.082300000000000040e+01,4.586899999999999977e+01,2.100000000000000000e+01,1.763393699999999953e+00
9.496999999999999886e+00,4.706400000000000006e+01,7.000000000000000000e+00,9.335561399999999788e-01
8.025000000000000355e+00,4.614399999999999835e+01,3.000000000000000000e+00,1.185964999999999936e+00
8.939999999999999503e+00,4.640599999999999881e+01,2.000000000000000000e+00,1.057633000000000045e+00
9.500999999999999446e+00,4.706400000000000006e+01,8.000000000000000000e+00,1.111094100000000084e+00
9.500999999999999446e+00,4.706400000000000006e+01,7.000000000000000000e+00,1.130542299999999889e+00
7.469000000000000306e+00,4.636599999999999966e+01,2.000000000000000000e+00,9.669867500000000060e-01
7.469999999999999751e+00,4.636699999999999733e+01,1.000000000000000000e+00,7.784239600000000259e-01
9.541000000000000369e+00,4.704899999999999949e+01,6.000000000000000000e+00,1.050135199999999935e+00
7.652999999999999581e+00,4.568099999999999739e+01,1.000000000000000000e+00,1.024935200000000046e+00
9.476000000000000867e+00,4.705799999999999983e+01,7.000000000000000000e+00,7.267281899999999961e-01
7.879999999999999893e+00,4.618500000000000227e+01,6.000000000000000000e+00,4.530746900000000021e-01
7.288999999999999702e+00,4.634400000000000119e+01,3.000000000000000000e+00,1.190163899999999941e+00
7.491999999999999993e+00,4.632999999999999829e+01,6.000000000000000000e+00,8.089078499999999838e-01
7.493000000000000327e+00,4.632999999999999829e+01,6.000000000000000000e+00,5.220770099999999525e-01
7.679000000000000270e+00,4.620900000000000318e+01,4.000000000000000000e+00,1.131020700000000101e+00
7.490999999999999659e+00,4.632999999999999829e+01,6.000000000000000000e+00,1.001080299999999923e+00
9.499000000000000554e+00,4.706900000000000261e+01,7.000000000000000000e+00,9.440259300000000131e-01
9.494999999999999218e+00,4.706400000000000006e+01,7.000000000000000000e+00,2.219188500000000008e-01
7.471000000000000085e+00,4.636999999999999744e+01,1.000000000000000000e+00,7.819471900000000142e-01
7.674999999999999822e+00,4.621300000000000097e+01,4.000000000000000000e+00,1.201951400000000003e+00
8.868999999999999773e+00,4.622500000000000142e+01,6.000000000000000000e+00,1.211622399999999988e+00
7.495000000000000107e+00,4.632200000000000273e+01,7.000000000000000000e+00,1.478778699999999890e+00
7.498000000000000220e+00,4.634700000000000131e+01,7.000000000000000000e+00,8.510680800000000046e-01
9.499000000000000554e+00,4.706300000000000239e+01,7.000000000000000000e+00,1.726946599999999998e+00
7.496000000000000441e+00,4.631900000000000261e+01,6.000000000000000000e+00,1.242869599999999908e+00
6.865000000000000213e+00,4.602600000000000335e+01,5.000000000000000000e+00,7.197649000000000408e-01
6.860999999999999766e+00,4.602400000000000091e+01,4.000000000000000000e+00,1.115361499999999895e+00
8.426999999999999602e+00,4.659100000000000108e+01,2.000000000000000000e+00,5.980210299999999535e-01
8.429999999999999716e+00,4.659000000000000341e+01,3.000000000000000000e+00,6.674101900000000143e-01
8.429000000000000270e+00,4.658800000000000097e+01,2.000000000000000000e+00,6.533778000000000086e-01
7.764000000000000234e+00,4.771800000000000352e+01,1.200000000000000000e+01,9.596589399999999603e-01
6.777000000000000135e+00,4.667099999999999937e+01,1.200000000000000000e+01,1.986707900000000082e+00
7.639999999999999680e+00,4.620600000000000307e+01,2.000000000000000000e+00,8.076638600000000112e-01
8.580000000000000071e+00,4.666700000000000159e+01,5.000000000000000000e+00,9.063710499999999559e-01
7.384999999999999787e+00,4.634700000000000131e+01,7.000000000000000000e+00,1.220436000000000076e+00
7.387999999999999901e+00,4.633599999999999852e+01,4.000000000000000000e+00,1.079074700000000053e+00
7.379999999999999893e+00,4.634799999999999898e+01,6.000000000000000000e+00,1.230727700000000091e+00
7.394000000000000128e+00,4.633500000000000085e+01,3.000000000000000000e+00,1.219396099999999983e+00
1.025900000000000034e+01,4.640899999999999892e+01,8.000000000000000000e+00,1.711262999999999979e+00
5.822000000000000064e+00,4.729899999999999949e+01,0.000000000000000000e+00,2.209535100000000085e+00
7.408000000000000362e+00,4.626299999999999812e+01,7.000000000000000000e+00,4.166305599999999831e-01
9.819000000000000838e+00,4.679899999999999949e+01,5.000000000000000000e+00,1.512252799999999953e+00
7.424000000000000377e+00,4.748199999999999932e+01,1.900000000000000000e+01,1.196650800000000014e+00
7.057000000000000384e+00,4.597599999999999909e+01,6.000000000000000000e+00,1.077336099999999908e+00
6.881000000000000227e+00,4.642799999999999727e+01,1.000000000000000000e+00,1.331558000000000019e+00
6.525999999999999801e+00,4.539900000000000091e+01,-2.000000000000000000e+00,1.188054399999999955e+00
7.830000000000000071e+00,4.638300000000000267e+01,7.000000000000000000e+00,4.387126100000000029e-01
1.000000000000000000e+01,4.727199999999999847e+01,-2.000000000000000000e+00,1.209819200000000095e+00
7.639000000000000234e+00,4.566499999999999915e+01,3.000000000000000000e+00,9.221643999999999952e-01
8.082000000000000739e+00,4.644500000000000028e+01,8.000000000000000000e+00,9.524613800000000241e-01
8.800000000000000711e+00,4.683400000000000318e+01,2.000000000000000000e+00,7.126851600000000397e-01
1.069200000000000017e+01,4.596300000000000097e+01,8.000000000000000000e+00,1.981165000000000065e+00
7.894999999999999574e+00,4.624000000000000199e+01,4.000000000000000000e+00,7.872902800000000090e-01
7.488000000000000433e+00,4.585600000000000165e+01,2.000000000000000000e+00,7.734025199999999822e-01
1.017399999999999949e+01,4.681099999999999994e+01,5.000000000000000000e+00,2.015459900000000193e+00
8.311999999999999389e+00,4.595700000000000074e+01,1.100000000000000000e+01,1.949248599999999998e+00
9.029999999999999361e+00,4.760999999999999943e+01,2.200000000000000000e+01,2.368594400000000100e+00
9.025000000000000355e+00,4.761200000000000188e+01,1.900000000000000000e+01,1.203921000000000019e+00
9.201000000000000512e+00,4.636800000000000210e+01,3.000000000000000000e+00,1.827080500000000107e+00
7.591000000000000192e+00,4.665500000000000114e+01,8.000000000000000000e+00,8.045010299999999503e-01
7.592999999999999972e+00,4.665200000000000102e+01,8.000000000000000000e+00,7.752415299999999565e-01
7.597000000000000419e+00,4.665100000000000335e+01,8.000000000000000000e+00,4.087457999999999925e-01
7.588000000000000078e+00,4.665299999999999869e+01,8.000000000000000000e+00,7.585322100000000400e-01
7.586999999999999744e+00,4.665100000000000335e+01,8.000000000000000000e+00,1.108067200000000030e+00
7.586999999999999744e+00,4.665400000000000347e+01,8.000000000000000000e+00,5.778441399999999506e-01
7.586999999999999744e+00,4.665100000000000335e+01,8.000000000000000000e+00,1.120436500000000057e+00
7.589999999999999858e+00,4.665299999999999869e+01,8.000000000000000000e+00,9.014064000000000521e-01
7.586999999999999744e+00,4.665200000000000102e+01,8.000000000000000000e+00,1.501121600000000056e+00
7.591000000000000192e+00,4.664999999999999858e+01,8.000000000000000000e+00,8.056443399999999588e-01
7.581000000000000405e+00,4.664800000000000324e+01,8.000000000000000000e+00,8.679677599999999771e-01
7.584999999999999964e+00,4.664800000000000324e+01,8.000000000000000000e+00,9.006646900000000455e-01
7.589000000000000412e+00,4.665400000000000347e+01,8.000000000000000000e+00,8.595215899999999465e-01
7.599999999999999645e+00,4.664800000000000324e+01,7.000000000000000000e+00,6.572678899999999658e-01
7.588000000000000078e+00,4.665400000000000347e+01,8.000000000000000000e+00,1.611354900000000034e+00
7.586000000000000298e+00,4.665400000000000347e+01,8.000000000000000000e+00,1.644835599999999953e+00
7.589000000000000412e+00,4.665500000000000114e+01,8.000000000000000000e+00,5.078853899999999921e-01
7.591000000000000192e+00,4.665500000000000114e+01,8.000000000000000000e+00,5.866160700000000450e-01
9.513999999999999346e+00,4.705400000000000205e+01,7.000000000000000000e+00,4.076219799999999949e-01
8.917999999999999261e+00,4.750800000000000267e+01,1.000000000000000000e+01,1.056600299999999937e+00
8.916000000000000369e+00,4.750999999999999801e+01,1.000000000000000000e+01,1.203138500000000111e+00
8.913999999999999702e+00,4.750699999999999790e+01,9.000000000000000000e+00,1.168230300000000055e+00
8.913000000000000256e+00,4.750999999999999801e+01,1.100000000000000000e+01,1.233049300000000015e+00
8.919999999999999929e+00,4.750800000000000267e+01,1.000000000000000000e+01,9.848038700000000256e-01
8.913999999999999702e+00,4.751100000000000279e+01,1.000000000000000000e+01,1.471741600000000094e+00
8.914999999999999147e+00,4.750699999999999790e+01,1.000000000000000000e+01,7.762856399999999990e-01
8.914999999999999147e+00,4.750800000000000267e+01,1.000000000000000000e+01,1.490712999999999955e+00
7.014999999999999680e+00,4.603300000000000125e+01,3.000000000000000000e+00,9.563891799999999499e-01
8.916000000000000369e+00,4.751100000000000279e+01,1.000000000000000000e+01,6.870060799999999634e-01
9.490999999999999659e+00,4.706700000000000017e+01,7.000000000000000000e+00,8.244711200000000018e-01
8.916999999999999815e+00,4.750900000000000034e+01,9.000000000000000000e+00,9.358881900000000087e-01
8.913000000000000256e+00,4.750999999999999801e+01,1.000000000000000000e+01,7.174629700000000332e-01
8.916000000000000369e+00,4.750699999999999790e+01,1.000000000000000000e+01,6.779885700000000126e-01
8.912000000000000810e+00,4.750800000000000267e+01,1.000000000000000000e+01,5.264687700000000303e-01
8.916000000000000369e+00,4.750800000000000267e+01,1.000000000000000000e+01,1.062025599999999903e+00
8.916999999999999815e+00,4.750800000000000267e+01,1.000000000000000000e+01,1.548267400000000071e+00
8.916000000000000369e+00,4.750800000000000267e+01,1.000000000000000000e+01,1.241033199999999947e+00
8.914999999999999147e+00,4.750999999999999801e+01,1.000000000000000000e+01,8.120472199999999585e-01
8.914999999999999147e+00,4.750800000000000267e+01,1.000000000000000000e+01,1.194824099999999945e+00
8.916000000000000369e+00,4.750800000000000267e+01,1.000000000000000000e+01,1.122594199999999987e+00
8.916000000000000369e+00,4.750699999999999790e+01,1.000000000000000000e+01,9.928711000000000064e-01
8.916000000000000369e+00,4.750699999999999790e+01,1.000000000000000000e+01,1.319281099999999984e+00
8.916000000000000369e+00,4.751200000000000045e+01,1.000000000000000000e+01,1.622021799999999958e+00
7.591000000000000192e+00,4.665500000000000114e+01,8.000000000000000000e+00,7.837712900000000094e-01
8.916000000000000369e+00,4.750900000000000034e+01,1.000000000000000000e+01,6.563738999999999546e-01
8.913999999999999702e+00,4.750900000000000034e+01,1.200000000000000000e+01,1.969510899999999953e+00
8.913999999999999702e+00,4.750999999999999801e+01,1.100000000000000000e+01,8.185856500000000535e-01
8.916999999999999815e+00,4.750800000000000267e+01,1.000000000000000000e+01,1.460925400000000041e+00
8.917999999999999261e+00,4.750900000000000034e+01,1.000000000000000000e+01,1.412081499999999989e+00
7.586999999999999744e+00,4.665299999999999869e+01,8.000000000000000000e+00,7.380662500000000348e-01
7.586000000000000298e+00,4.665100000000000335e+01,8.000000000000000000e+00,1.077443799999999952e+00
8.916000000000000369e+00,4.750699999999999790e+01,1.000000000000000000e+01,9.130939000000000139e-01
8.914999999999999147e+00,4.750800000000000267e+01,1.000000000000000000e+01,9.976993800000000245e-01
8.916999999999999815e+00,4.750600000000000023e+01,1.000000000000000000e+01,1.471776500000000043e+00
8.917999999999999261e+00,4.750500000000000256e+01,1.000000000000000000e+01,1.313710399999999945e+00
8.916000000000000369e+00,4.750800000000000267e+01,1.000000000000000000e+01,7.324615399999999665e-01
8.914999999999999147e+00,4.750900000000000034e+01,1.000000000000000000e+01,1.576898399999999922e+00
8.914999999999999147e+00,4.750800000000000267e+01,1.000000000000000000e+01,1.231625500000000040e+00
8.914999999999999147e+00,4.750800000000000267e+01,1.000000000000000000e+01,1.543763299999999949e+00
8.912000000000000810e+00,4.750900000000000034e+01,1.000000000000000000e+01,1.240456299999999956e+00
7.586999999999999744e+00,4.665500000000000114e+01,8.000000000000000000e+00,5.558291899999999730e-01
8.916000000000000369e+00,4.750900000000000034e+01,9.000000000000000000e+00,3.960812899999999748e-01
8.914999999999999147e+00,4.750900000000000034e+01,1.000000000000000000e+01,8.449649099999999580e-01
7.711000000000000298e+00,4.625200000000000244e+01,7.000000000000000000e+00,5.424195800000000123e-01
7.589000000000000412e+00,4.665299999999999869e+01,8.000000000000000000e+00,8.343924499999999522e-01
7.591000000000000192e+00,4.665500000000000114e+01,8.000000000000000000e+00,7.545686900000000419e-01
7.588000000000000078e+00,4.665599999999999881e+01,8.000000000000000000e+00,9.556947300000000478e-01
7.144999999999999574e+00,4.587700000000000244e+01,2.000000000000000000e+00,2.803424500000000208e+00
7.181000000000000050e+00,4.587899999999999778e+01,2.000000000000000000e+00,1.476371300000000053e+00
9.628000000000000114e+00,4.665999999999999659e+01,7.000000000000000000e+00,1.319845200000000052e+00
9.494999999999999218e+00,4.706300000000000239e+01,6.000000000000000000e+00,6.625942200000000115e-01
6.991999999999999993e+00,4.599099999999999966e+01,2.000000000000000000e+00,7.728788699999999956e-01
6.985999999999999766e+00,4.599000000000000199e+01,3.000000000000000000e+00,9.825953800000000182e-01
7.589000000000000412e+00,4.665699999999999648e+01,8.000000000000000000e+00,7.219968799999999520e-01
7.589000000000000412e+00,4.665500000000000114e+01,8.000000000000000000e+00,1.014638300000000104e+00
7.589000000000000412e+00,4.665500000000000114e+01,8.000000000000000000e+00,7.647019699999999531e-01
7.584999999999999964e+00,4.665500000000000114e+01,8.000000000000000000e+00,6.051398399999999844e-01
7.589999999999999858e+00,4.665400000000000347e+01,8.000000000000000000e+00,1.000801899999999911e+00
7.400000000000000355e+00,4.626100000000000279e+01,8.000000000000000000e+00,1.006195399999999962e+00
