Lon,Lat,Altitude
0.166705255846261,-89.8332561371005,2774
0.166705255846261,-89.4163964798518,2783
0.166705255846261,-88.9995368226031,2773.6
0.166705255846261,-88.5826771653543,2722
0.166705255846261,-88.1658175081056,2740
0.166705255846261,-87.7489578508569,2743
0.166705255846261,-87.3320981936081,2743
0.166705255846261,-86.9152385363594,2700.4
0.166705255846261,-86.4983788791107,2682
0.166705255846261,-86.081519221862,2682
0.166705255846261,-85.6646595646132,2682
0.166705255846261,-85.2477999073645,2682
0.166705255846261,-84.8309402501158,2679
0.166705255846261,-84.4140805928671,2652
0.166705255846261,-83.9972209356183,2652
0.166705255846261,-83.5803612783696,2652
0.166705255846261,-83.1635016211209,2676
0.166705255846261,-82.7466419638722,2661
0.166705255846261,-82.3297823066234,2697.4
0.166705255846261,-81.9129226493747,2713
0.166705255846261,-81.496062992126,2173.2
0.166705255846261,-81.0792033348773,2703.8
0.166705255846261,-80.6623436776285,2682
0.166705255846261,-80.2454840203798,2682
0.166705255846261,-79.8286243631311,2659.52
0.166705255846261,-79.4117647058823,2706.68
0.166705255846261,-78.9949050486336,2765.92
0.166705255846261,-78.5780453913849,2825.6
0.166705255846261,-78.1611857341362,2880
0.166705255846261,-77.7443260768874,2804
0.166705255846261,-77.3274664196387,2804
0.166705255846261,-76.91060676239,2804
0.166705255846261,-76.4937471051413,2804
0.166705255846261,-76.0768874478925,2795
0.166705255846261,-75.6600277906438,2758.6
0.166705255846261,-75.2431681333951,2689.88
0.166705255846261,-74.8263084761464,2677.48
0.166705255846261,-74.4094488188976,2642.8
0.166705255846261,-73.9925891616489,2567.84
0.166705255846261,-73.5757295044002,2386.6
0.166705255846261,-73.1588698471515,2218.68
0.166705255846261,-72.7420101899027,2034.44
0.166705255846261,-72.325150532654,1600
0.166705255846261,-71.9082908754053,877.88
0.166705255846261,-71.4914312181565,242.56
0.166705255846261,-71.0745715609078,-117.12
0.166705255846261,-70.6577119036591,-228.24
0.166705255846261,-70.2408522464104,-213.76
0.166705255846261,-69.8239925891616,-711.4
0.166705255846261,-69.4071329319129,-2348.8
0.166705255846261,-68.9902732746642,-3420.6
0.166705255846261,-68.5734136174155,-4185.76
0.166705255846261,-68.1565539601667,-4370.28
0.166705255846261,-67.739694302918,-4466.92
0.166705255846261,-67.3228346456693,-4638.64
0.166705255846261,-66.9059749884206,-4289.64
0.166705255846261,-66.4891153311718,-3605.32
0.166705255846261,-66.0722556739231,-3587.32
0.166705255846261,-65.6553960166744,-3733
0.166705255846261,-65.2385363594257,-3778.76
0.166705255846261,-64.8216767021769,-3922.04
0.166705255846261,-64.4048170449282,-4053.8
0.166705255846261,-63.9879573876795,-4909.56
0.166705255846261,-63.5710977304308,-5179.68
0.166705255846261,-63.154238073182,-5244.04
0.166705255846261,-62.7373784159333,-5410.96
0.166705255846261,-62.3205187586846,-5460.64
0.166705255846261,-61.9036591014358,-5439.6
0.166705255846261,-61.4867994441871,-5365
0.166705255846261,-61.0699397869384,-5304.16
0.166705255846261,-60.6530801296897,-5340.2
0.166705255846261,-60.2362204724409,-5343.08
0.166705255846261,-59.8193608151922,-5315
0.166705255846261,-59.4025011579435,-5302.48
0.166705255846261,-58.9856415006948,-4952.84
0.166705255846261,-58.568781843446,-5006.92
0.166705255846261,-58.1519221861973,-4135.4
0.166705255846261,-57.7350625289486,-4144.48
0.166705255846261,-57.3182028716999,-4335.72
0.166705255846261,-56.9013432144511,-4303.52
0.166705255846261,-56.4844835572024,-4275.8
0.166705255846261,-56.0676238999537,-3921.72
0.166705255846261,-55.650764242705,-3574.2
0.166705255846261,-55.2339045854562,-2818.64
0.166705255846261,-54.8170449282075,-1379.28
0.166705255846261,-54.4001852709588,-2385.24
0.166705255846261,-53.9833256137101,-2612.44
0.166705255846261,-53.5664659564613,-2508.64
0.166705255846261,-53.1496062992126,-2080.72
0.166705255846261,-52.7327466419639,-2708.12
0.166705255846261,-52.3158869847151,-2960.88
0.166705255846261,-51.8990273274664,-2652.16
0.166705255846261,-51.4821676702177,-2301.88
0.166705255846261,-51.065308012969,-2017.68
0.166705255846261,-50.6484483557202,-2671.36
0.166705255846261,-50.2315886984715,-3507.4
0.166705255846261,-49.8147290412228,-3646
0.166705255846261,-49.3978693839741,-3892.92
0.166705255846261,-48.9810097267253,-3981.56
0.166705255846261,-48.5641500694766,-3996.04
0.166705255846261,-48.1472904122279,-3995.88
0.166705255846261,-47.7304307549792,-4214.52
0.166705255846261,-47.3135710977304,-4434.28
0.166705255846261,-46.8967114404817,-4014.8
0.166705255846261,-46.479851783233,-4351.36
0.166705255846261,-46.0629921259843,-3735
0.166705255846261,-45.6461324687355,-3524.84
0.166705255846261,-45.2292728114868,-4292
0.166705255846261,-44.8124131542381,-4293.16
0.166705255846261,-44.3955534969893,-4520.76
0.166705255846261,-43.9786938397406,-4523.48
0.166705255846261,-43.5618341824919,-4327.08
0.166705255846261,-43.1449745252432,-4131.04
0.166705255846261,-42.7281148679944,-3756.6
0.166705255846261,-42.3112552107457,-1166.64
0.166705255846261,-41.894395553497,-1569.84
0.166705255846261,-41.4775358962483,-4232.44
0.166705255846261,-41.0606762389995,-4706.92
0.166705255846261,-40.6438165817508,-4795.88
0.166705255846261,-40.2269569245021,-4986.6
0.166705255846261,-39.8100972672534,-5010.72
0.166705255846261,-39.3932376100046,-5011.08
0.166705255846261,-38.9763779527559,-5022.36
0.166705255846261,-38.5595182955072,-5002.84
0.166705255846261,-38.1426586382585,-5046.92
0.166705255846261,-37.7257989810097,-5016.12
0.166705255846261,-37.308939323761,-4991.84
0.166705255846261,-36.8920796665123,-4774.88
0.166705255846261,-36.4752200092635,-4999.76
0.166705255846261,-36.0583603520148,-4959.8
0.166705255846261,-35.6415006947661,-4847.4
0.166705255846261,-35.2246410375174,-4786.84
